Symbol,Date,Type,Zone,RVOL,Entry,Exit,Reason,Spot_PnL,Option_PnL,Total_Profit
ONGC,2025-12-02,SHORT,QUIET,1.440148293446844,243.15,243.78,Time Limit (60m),-0.6299999999999955,-0.3149999999999977,-1212.7499999999914
ULTRACEMCO,2025-11-18,SHORT,GOLD,1.9414460477975986,11728.0,11737.0,Time Limit (60m),-9.0,-4.5,-450.0
ULTRACEMCO,2025-11-20,LONG,GOLD,1.54604455358709,11749.0,11732.0,Time Limit (60m),-17.0,-8.5,-850.0
ICICIBANK,2025-11-19,LONG,QUIET,1.1086747585879098,1381.2,1379.7,Time Limit (60m),-1.5,-0.75,-525.0
ICICIBANK,2025-11-25,SHORT,QUIET,1.1256155548304398,1360.7,1357.0,Time Limit (60m),3.7000000000000455,1.8500000000000227,1295.000000000016
ICICIBANK,2025-11-26,LONG,GOLD,1.6530794508250721,1372.0,1370.1,Time Limit (60m),-1.900000000000091,-0.9500000000000455,-665.0000000000318
ICICIBANK,2025-12-03,LONG,QUIET,1.2723693967792828,1380.0,1385.8,Time Limit (60m),5.7999999999999545,2.8999999999999773,2029.999999999984
SUNPHARMA,2025-11-25,LONG,GOLD,2.2394647375973853,1788.1,1786.1,Time Limit (60m),-2.0,-1.0,-700.0
SUNPHARMA,2025-12-01,SHORT,QUIET,1.3830890935027882,1814.2,1809.9,Time Limit (60m),4.2999999999999545,2.1499999999999773,1504.999999999984
SUNPHARMA,2025-12-03,SHORT,QUIET,1.2485533077172353,1785.3,1794.2264999999998,SL Hit,-8.926499999999805,-4.463249999999903,-3124.274999999932
BAJFINANCE,2025-11-19,SHORT,QUIET,1.1881076827966053,1008.4,1006.4,Time Limit (60m),2.0,1.0,125.0
